date,symbol,open,high,low,close,adj_close,volume,daily_return
2025-10-22,BTC-USD,108491.5312,109115.1328,106778.0,107688.5859,107688.5859,80807013218,-0.007267
2025-10-23,BTC-USD,107679.4375,111288.5938,107548.4297,110069.7266,110069.7266,54944076060,0.022111
2025-10-24,BTC-USD,110069.3516,111842.5312,109770.1484,111033.9219,111033.9219,48160816980,0.00876
2025-10-25,BTC-USD,111032.6172,111947.7031,110704.4062,111641.7266,111641.7266,24707667305,0.005474
2025-10-26,BTC-USD,111639.0547,115260.9062,111268.4844,114472.4453,114472.4453,41708524143,0.025355
2025-10-27,BTC-USD,114479.8516,116273.3125,113882.2891,114119.3281,114119.3281,61761358733,-0.003085
2025-10-28,BTC-USD,114129.0859,116078.9844,112291.6797,112956.1641,112956.1641,64528066504,-0.010193
2025-10-29,BTC-USD,112921.3281,113642.7266,109368.7188,110055.3047,110055.3047,62192043469,-0.025681
2025-10-30,BTC-USD,110059.1953,111612.3516,106376.6875,108305.5469,108305.5469,69673964814,-0.015899
2025-10-31,BTC-USD,108304.4141,111031.8203,108288.2734,109556.1641,109556.1641,60090359560,0.011547
2025-11-01,BTC-USD,109558.625,110574.8984,109372.9531,110064.0156,110064.0156,25871668762,0.004636
2025-11-02,BTC-USD,110064.4297,111167.3125,109523.4531,110639.625,110639.625,34284209459,0.00523
2025-11-03,BTC-USD,110646.9062,110764.9141,105336.3594,106547.5234,106547.5234,72852006359,-0.036986
2025-11-04,BTC-USD,106541.4219,107264.8828,98962.0625,101590.5234,101590.5234,110967184773,-0.046524
2025-11-05,BTC-USD,101579.2344,104534.7031,98989.9141,103891.8359,103891.8359,77584934804,0.022653
2025-11-06,BTC-USD,103893.6641,104147.3047,100336.8672,101301.2891,101301.2891,63932752861,-0.024935
2025-11-07,BTC-USD,101286.2422,104052.9141,99257.0547,103372.4062,103372.4062,92168030081,0.020445
2025-11-08,BTC-USD,103371.7031,103373.5625,101458.0391,102282.1172,102282.1172,51446691095,-0.010547
2025-11-09,BTC-USD,102278.9844,105418.3672,101468.875,104719.6406,104719.6406,59679243013,0.023831
2025-11-10,BTC-USD,104723.7734,106564.6953,104350.6484,105996.5938,105996.5938,69585887229,0.012194
2025-11-11,BTC-USD,105996.8594,107428.2578,102457.3281,102997.4688,102997.4688,71130078574,-0.028295
2025-11-12,BTC-USD,103011.4375,105297.2344,100836.6172,101663.1875,101663.1875,64347179408,-0.012955
2025-11-13,BTC-USD,101674.1484,104005.4922,97988.7188,99697.4922,99697.4922,101546815416,-0.019335
2025-11-14,BTC-USD,99694.7031,99804.4297,94000.7344,94397.7891,94397.7891,114346441890,-0.053158
2025-11-15,BTC-USD,94420.4688,96728.4688,94420.4688,95549.1484,95549.1484,38500716654,0.012197
2025-11-16,BTC-USD,95556.8672,96564.1875,92971.1641,94177.0781,94177.0781,71086235862,-0.01436
2025-11-17,BTC-USD,94180.875,95928.3672,91214.7578,92093.875,92093.875,94186165724,-0.02212
2025-11-18,BTC-USD,92094.5312,93745.0781,89300.4609,92948.875,92948.875,101333569062,0.009284
2025-11-19,BTC-USD,92946.1641,92946.1641,88526.8281,91465.9922,91465.9922,80350354656,-0.015954
2025-11-20,BTC-USD,91459.3516,93025.0703,86040.7969,86631.8984,86631.8984,97970645638,-0.052851
2025-11-21,BTC-USD,86528.7734,87380.8047,80659.8125,85090.6875,85090.6875,129157506112,-0.01779
2025-11-22,BTC-USD,85098.5625,85503.0078,83490.8984,84648.3594,84648.3594,40793099246,-0.005198
2025-11-23,BTC-USD,84648.6094,88038.4688,84641.7734,86805.0078,86805.0078,58083435576,0.025478
2025-11-24,BTC-USD,86798.7734,89206.3359,85272.1953,88270.5625,88270.5625,74433896110,0.016883
2025-11-25,BTC-USD,88269.9609,88457.3359,86131.4297,87341.8906,87341.8906,64837343545,-0.010521
2025-11-26,BTC-USD,87345.5859,90581.1562,86316.8984,90518.3672,90518.3672,66496301869,0.036368
